channel_id,group,type,drs_name,notes,Physical,l2_board,fers_board,fers_root_board,,DRS_ROOT_Bridge_Mapping,MCP,
C4,core,Plastic,DRS_Board0_Group1_Channel0,Cable 23,1,3L,5,6,,DRS_Bridge0_Board0_Group0_Channel0,6mm,
C3,core,Scintillation,DRS_Board0_Group1_Channel1,Cable 21,2,3L,5,6,,DRS_Bridge0_Board0_Group0_Channel1,US,DS
C2,core,Quartz,DRS_Board0_Group1_Channel2,Cable 38,3,3L,5,6,,DRS_Bridge0_Board0_Group0_Channel2,DRS_Board6_Group3_Channel6,DRS_Board6_Group3_Channel7
C1,core,Scintillation,DRS_Board0_Group1_Channel3,,4,3L,5,6,,DRS_Bridge0_Board0_Group0_Channel3,3mm,
C12,core,Quartz,DRS_Board0_Group1_Channel4,,5,3L,5,6,,DRS_Bridge0_Board0_Group0_Channel4,US,DS
C11,core,Scintillation,DRS_Board0_Group1_Channel5,13,6,3L,5,6,,DRS_Bridge0_Board0_Group0_Channel5,DRS_Board3_Group3_Channel6,DRS_Board3_Group3_Channel7
C10,core,Quartz,DRS_Board0_Group1_Channel6,,7,3L,5,6,,DRS_Bridge0_Board0_Group0_Channel6,,
C9,core,Scintillation,DRS_Board0_Group1_Channel7,,8,3L,5,6,,DRS_Bridge0_Board0_Group0_Channel7,,
C20,core,Plastic,DRS_Board0_Group2_Channel0,Cable 33,9,3L,5,6,,DRS_Bridge0_Board0_Group1_Channel0,,
C19,core,Scintillation,DRS_Board0_Group2_Channel1,43,10,3L,5,6,,DRS_Bridge0_Board0_Group1_Channel1,,
C18,core,Plastic,DRS_Board0_Group2_Channel2,Cable 59,11,3L,5,6,,DRS_Bridge0_Board0_Group1_Channel2,,
C17,core,Scintillation,DRS_Board0_Group2_Channel3,Cable 134,12,3L,5,6,,DRS_Bridge0_Board0_Group1_Channel3,,
C28,core,Quartz,DRS_Board0_Group2_Channel4,11,13,3L,5,6,,DRS_Bridge0_Board0_Group1_Channel4,,
C27,core,Scintillation,DRS_Board0_Group2_Channel5,Cable24,14,3L,5,6,,DRS_Bridge0_Board0_Group1_Channel5,,
C26,core,Quartz,DRS_Board0_Group2_Channel6,Cable 16,15,3L,5,6,,DRS_Bridge0_Board0_Group1_Channel6,,
C25,core,Scintillation,DRS_Board0_Group2_Channel7,Cable 600,16,3L,5,6,,DRS_Bridge0_Board0_Group1_Channel7,,
C36,core,Plastic,DRS_Board0_Group3_Channel0,Cable 8,17,3L,5,6,,DRS_Bridge0_Board0_Group2_Channel0,,
C35,core,Scintillation,DRS_Board0_Group3_Channel1,Cable 39,18,3L,5,6,,DRS_Bridge0_Board0_Group2_Channel1,,
C34,core,Plastic,DRS_Board0_Group3_Channel2,Cable 47,19,3L,5,6,,DRS_Bridge0_Board0_Group2_Channel2,,
C33,core,Scintillation,DRS_Board0_Group3_Channel3,Cable 109,20,3L,5,6,,DRS_Bridge0_Board0_Group2_Channel3,,
C44,core,Quartz,DRS_Board0_Group3_Channel4,Cable 29,21,3L,5,6,,DRS_Bridge0_Board0_Group2_Channel4,,
C43,core,Scintillation,DRS_Board0_Group3_Channel5,Cable 15,22,3L,5,6,,DRS_Bridge0_Board0_Group2_Channel5,,
C42,core,Quartz,DRS_Board0_Group3_Channel6,62,23,3L,5,6,,DRS_Bridge0_Board0_Group2_Channel6,,
C41,core,Scintillation,DRS_Board0_Group3_Channel7,96,24,3L,5,6,,DRS_Bridge0_Board0_Group2_Channel7,,
C52,core,Quartz,DRS_Board0_Group4_Channel0,Cable 32,25,3L,5,6,,DRS_Bridge0_Board0_Group3_Channel0,,
C51,core,Scintillation,DRS_Board0_Group4_Channel1,Cable 10,26,3L,5,6,,DRS_Bridge0_Board0_Group3_Channel1,,
C50,core,Plastic,DRS_Board0_Group4_Channel2,,27,3L,5,6,,DRS_Bridge0_Board0_Group3_Channel2,,
C49,core,Scintillation,DRS_Board0_Group4_Channel3,,28,3L,5,6,,DRS_Bridge0_Board0_Group3_Channel3,,
C60,core,Quartz,DRS_Board0_Group4_Channel4,,29,3L,5,6,,DRS_Bridge0_Board0_Group3_Channel4,,
C59,core,Scintillation,DRS_Board0_Group4_Channel5,,30,3L,5,6,,DRS_Bridge0_Board0_Group3_Channel5,,
C58,core,Quartz,DRS_Board0_Group4_Channel6,,31,3L,5,6,,DRS_Bridge0_Board0_Group3_Channel6,,
C57,core,Scintillation,DRS_Board0_Group4_Channel7,,32,3L,5,6,,DRS_Bridge0_Board0_Group3_Channel7,,
C8,core,Plastic,DRS_Board1_Group1_Channel0,69,1,3R,6,7,,DRS_Bridge0_Board1_Group0_Channel0,,
C7,core,Scintillation,DRS_Board1_Group1_Channel1,122,2,3R,6,7,,DRS_Bridge0_Board1_Group0_Channel1,,
C6,core,Plastic,DRS_Board1_Group1_Channel2,26,3,3R,6,7,,DRS_Bridge0_Board1_Group0_Channel2,,
C5,core,Scintillation,DRS_Board1_Group1_Channel3,18,4,3R,6,7,,DRS_Bridge0_Board1_Group0_Channel3,,
C16,core,Quartz,DRS_Board1_Group1_Channel4,,5,3R,6,7,,DRS_Bridge0_Board1_Group0_Channel4,,
C15,core,Scintillation,DRS_Board1_Group1_Channel5,,6,3R,6,7,,DRS_Bridge0_Board1_Group0_Channel5,,
C14,core,Quartz,DRS_Board1_Group1_Channel6,,7,3R,6,7,,DRS_Bridge0_Board1_Group0_Channel6,,
C13,core,Scintillation,DRS_Board1_Group1_Channel7,,8,3R,6,7,,DRS_Bridge0_Board1_Group0_Channel7,,
C24,core,Plastic,DRS_Board1_Group2_Channel0,,9,3R,6,7,,DRS_Bridge0_Board1_Group1_Channel0,,
C23,core,Scintillation,DRS_Board1_Group2_Channel1,,10,3R,6,7,,DRS_Bridge0_Board1_Group1_Channel1,,
C22,core,Plastic,DRS_Board1_Group2_Channel2,,11,3R,6,7,,DRS_Bridge0_Board1_Group1_Channel2,,
C21,core,Scintillation,DRS_Board1_Group2_Channel3,,12,3R,6,7,,DRS_Bridge0_Board1_Group1_Channel3,,
C32,core,Quartz,DRS_Board1_Group2_Channel4,,13,3R,6,7,,DRS_Bridge0_Board1_Group1_Channel4,,
C31,core,Scintillation,DRS_Board1_Group2_Channel5,,14,3R,6,7,,DRS_Bridge0_Board1_Group1_Channel5,,
C30,core,Quartz,DRS_Board1_Group2_Channel6,,15,3R,6,7,,DRS_Bridge0_Board1_Group1_Channel6,,
C29,core,Scintillation,DRS_Board1_Group2_Channel7,,16,3R,6,7,,DRS_Bridge0_Board1_Group1_Channel7,,
C40,core,Plastic,DRS_Board1_Group3_Channel0,,17,3R,6,7,,DRS_Bridge0_Board1_Group2_Channel0,,
C39,core,Scintillation,DRS_Board1_Group3_Channel1,,18,3R,6,7,,DRS_Bridge0_Board1_Group2_Channel1,,
C38,core,Plastic,DRS_Board1_Group3_Channel2,,19,3R,6,7,,DRS_Bridge0_Board1_Group2_Channel2,,
C37,core,Scintillation,DRS_Board1_Group3_Channel3,,20,3R,6,7,,DRS_Bridge0_Board1_Group2_Channel3,,
C48,core,Quartz,DRS_Board1_Group3_Channel4,,21,3R,6,7,,DRS_Bridge0_Board1_Group2_Channel4,,
C47,core,Scintillation,DRS_Board1_Group3_Channel5,,22,3R,6,7,,DRS_Bridge0_Board1_Group2_Channel5,,
C46,core,Quartz,DRS_Board1_Group3_Channel6,,23,3R,6,7,,DRS_Bridge0_Board1_Group2_Channel6,,
C45,core,Scintillation,DRS_Board1_Group3_Channel7,,24,3R,6,7,,DRS_Bridge0_Board1_Group2_Channel7,,
C56,core,Plastic,DRS_Board1_Group4_Channel0,,25,3R,6,7,,DRS_Bridge0_Board1_Group3_Channel0,,
C55,core,Scintillation,DRS_Board1_Group4_Channel1,,26,3R,6,7,,DRS_Bridge0_Board1_Group3_Channel1,,
C54,core,Plastic,DRS_Board1_Group4_Channel2,,27,3R,6,7,,DRS_Bridge0_Board1_Group3_Channel2,,
C53,core,Scintillation,DRS_Board1_Group4_Channel3,,28,3R,6,7,,DRS_Bridge0_Board1_Group3_Channel3,,
C64,core,Quartz,DRS_Board1_Group4_Channel4,,29,3R,6,7,,DRS_Bridge0_Board1_Group3_Channel4,,
C63,core,Scintillation,DRS_Board1_Group4_Channel5,,30,3R,6,7,,DRS_Bridge0_Board1_Group3_Channel5,,
C62,core,Quartz,DRS_Board1_Group4_Channel6,,31,3R,6,7,,DRS_Bridge0_Board1_Group3_Channel6,,
C61,core,Scintillation,DRS_Board1_Group4_Channel7,,32,3R,6,7,,DRS_Bridge0_Board1_Group3_Channel7,,
C68,core,Plastic,DRS_Board2_Group1_Channel0,17,33,3L,5,6,,DRS_Bridge0_Board2_Group0_Channel0,,
C67,core,Scintillation,DRS_Board2_Group1_Channel1,48,34,3L,5,6,,DRS_Bridge0_Board2_Group0_Channel1,,
C66,core,Plastic,DRS_Board2_Group1_Channel2,,35,3L,5,6,,DRS_Bridge0_Board2_Group0_Channel2,,
C65,core,Scintillation,DRS_Board2_Group1_Channel3,,36,3L,5,6,,DRS_Bridge0_Board2_Group0_Channel3,,
C76,core,Quartz,DRS_Board2_Group1_Channel4,,37,3L,5,6,,DRS_Bridge0_Board2_Group0_Channel4,,
C75,core,Scintillation,DRS_Board2_Group1_Channel5,,38,3L,5,6,,DRS_Bridge0_Board2_Group0_Channel5,,
C74,core,Quartz,DRS_Board2_Group1_Channel6,,39,3L,5,6,,DRS_Bridge0_Board2_Group0_Channel6,,
C73,core,Scintillation,DRS_Board2_Group1_Channel7,,40,3L,5,6,,DRS_Bridge0_Board2_Group0_Channel7,,
C84,core,Plastic,DRS_Board2_Group2_Channel0,,41,3L,5,6,,DRS_Bridge0_Board2_Group1_Channel0,,
C83,core,Scintillation,DRS_Board2_Group2_Channel1,,42,3L,5,6,,DRS_Bridge0_Board2_Group1_Channel1,,
C82,core,Plastic,DRS_Board2_Group2_Channel2,,43,3L,5,6,,DRS_Bridge0_Board2_Group1_Channel2,,
C81,core,Scintillation,DRS_Board2_Group2_Channel3,,44,3L,5,6,,DRS_Bridge0_Board2_Group1_Channel3,,
C92,core,Quartz,DRS_Board2_Group2_Channel4,,45,3L,5,6,,DRS_Bridge0_Board2_Group1_Channel4,,
C91,core,Scintillation,DRS_Board2_Group2_Channel5,,46,3L,5,6,,DRS_Bridge0_Board2_Group1_Channel5,,
C90,core,Quartz,DRS_Board2_Group2_Channel6,,47,3L,5,6,,DRS_Bridge0_Board2_Group1_Channel6,,
C89,core,Scintillation,DRS_Board2_Group2_Channel7,,48,3L,5,6,,DRS_Bridge0_Board2_Group1_Channel7,,
C100,core,Plastic,DRS_Board2_Group3_Channel0,,49,3L,5,6,,DRS_Bridge0_Board2_Group2_Channel0,,
C99,core,Scintillation,DRS_Board2_Group3_Channel1,,50,3L,5,6,,DRS_Bridge0_Board2_Group2_Channel1,,
C98,core,Plastic,DRS_Board2_Group3_Channel2,,51,3L,5,6,,DRS_Bridge0_Board2_Group2_Channel2,,
C97,core,Scintillation,DRS_Board2_Group3_Channel3,,52,3L,5,6,,DRS_Bridge0_Board2_Group2_Channel3,,
C108,core,Quartz,DRS_Board2_Group3_Channel4,,53,3L,5,6,,DRS_Bridge0_Board2_Group2_Channel4,,
C107,core,Scintillation,DRS_Board2_Group3_Channel5,,54,3L,5,6,,DRS_Bridge0_Board2_Group2_Channel5,,
C106,core,Quartz,DRS_Board2_Group3_Channel6,,55,3L,5,6,,DRS_Bridge0_Board2_Group2_Channel6,,
C105,core,Scintillation,DRS_Board2_Group3_Channel7,,56,3L,5,6,,DRS_Bridge0_Board2_Group2_Channel7,,
C116,core,Plastic,DRS_Board2_Group4_Channel0,,57,3L,5,6,,DRS_Bridge0_Board2_Group3_Channel0,,
C115,core,Scintillation,DRS_Board2_Group4_Channel1,,58,3L,5,6,,DRS_Bridge0_Board2_Group3_Channel1,,
C114,core,Plastic,DRS_Board2_Group4_Channel2,,59,3L,5,6,,DRS_Bridge0_Board2_Group3_Channel2,,
C113,core,Scintillation,DRS_Board2_Group4_Channel3,,60,3L,5,6,,DRS_Bridge0_Board2_Group3_Channel3,,
C124,core,Quartz,DRS_Board2_Group4_Channel4,,61,3L,5,6,,DRS_Bridge0_Board2_Group3_Channel4,,
C123,core,Scintillation,DRS_Board2_Group4_Channel5,,62,3L,5,6,,DRS_Bridge0_Board2_Group3_Channel5,,
C122,core,Quartz,DRS_Board2_Group4_Channel6,,63,3L,5,6,,DRS_Bridge0_Board2_Group3_Channel6,,
C121,core,Scintillation,DRS_Board2_Group4_Channel7,63,64,3L,5,6,,DRS_Bridge0_Board2_Group3_Channel7,,
C72,core,Plastic,DRS_Board3_Group1_Channel0,70,33,3R,6,7,,DRS_Bridge0_Board3_Group0_Channel0,,
C71,core,Scintillation,DRS_Board3_Group1_Channel1,,34,3R,6,7,,DRS_Bridge0_Board3_Group0_Channel1,,
C70,core,Plastic,DRS_Board3_Group1_Channel2,,35,3R,6,7,,DRS_Bridge0_Board3_Group0_Channel2,,
C69,core,Scintillation,DRS_Board3_Group1_Channel3,,36,3R,6,7,,DRS_Bridge0_Board3_Group0_Channel3,,
C80,core,Quartz,DRS_Board3_Group1_Channel4,,37,3R,6,7,,DRS_Bridge0_Board3_Group0_Channel4,,
C79,core,Scintillation,DRS_Board3_Group1_Channel5,,38,3R,6,7,,DRS_Bridge0_Board3_Group0_Channel5,,
C78,core,Quartz,DRS_Board3_Group1_Channel6,,39,3R,6,7,,DRS_Bridge0_Board3_Group0_Channel6,,
C77,core,Scintillation,DRS_Board3_Group1_Channel7,,40,3R,6,7,,DRS_Bridge0_Board3_Group0_Channel7,,
C88,core,Plastic,DRS_Board3_Group2_Channel0,,41,3R,6,7,,DRS_Bridge0_Board3_Group1_Channel0,,
C87,core,Scintillation,DRS_Board3_Group2_Channel1,,42,3R,6,7,,DRS_Bridge0_Board3_Group1_Channel1,,
C86,core,Plastic,DRS_Board3_Group2_Channel2,,43,3R,6,7,,DRS_Bridge0_Board3_Group1_Channel2,,
